"","DraftIndex","Pk","Tm","Player","College","Yrs","G","MP...8","PTS...9","TRB...10","AST...11","FG%","3P%","FT%","MP...15","PTS...16","TRB...17","AST...18","WS","WS/48","BPM","VORP","LBPY","PickLBPY","YearLBPY","DraftLBPY"
"1",1,1,"ORL","Dwight Howard",NA,"18",1242,39457,19485,14627,1676,0.587,0.214,0.567,31.8,15.7,11.8,1.3,141.7,0.172,1.9,39,2.31461538461538,0.877922113864665,2.4220612707,3.29998338456466
"2",1,2,"CHA","Emeka Okafor","UConn","10",616,19055,7370,5967,520,0.512,0,0.586,30.9,12,9.7,0.8,45.3,0.114,-0.6,6.8,0.094,0.153205984164566,0.362461357265421,0.515667341429987
"3",1,3,"CHI","Ben Gordon","UConn","11",744,20366,11084,1851,1868,0.432,0.401,0.857,27.4,14.9,2.5,2.5,33.3,0.078,-0.3,8.7,-2.30166666666667,-1.21719687762327,-1.8594969762077,-3.07669385383096
"4",1,4,"LAC","Shaun Livingston",NA,"14",833,17188,5231,1989,2483,0.486,0.178,0.794,20.6,6.3,2.4,3,29.9,0.084,-1,4.3,-1.116,-0.609889665760471,-0.759802278536362,-1.36969194429683
"5",1,5,"WAS","Devin Harris","Wisconsin","15",985,23963,10597,2151,3869,0.432,0.325,0.796,24.3,10.8,2.2,3.9,54.9,0.11,0.6,15.5,0.278,0.423236575532548,0.533119629155939,0.956356204688487
"6",1,6,"ATL","Josh Childress","Stanford","8",391,10432,3548,1850,609,0.522,0.329,0.779,26.7,9.1,4.7,1.6,25.7,0.118,0.8,7.4,-1.1175,-0.366987703566899,-0.761193514448513,-1.12818121801541
"7",1,7,"PHO","Luol Deng","Duke","15",902,30941,13361,5468,2042,0.456,0.332,0.769,34.3,14.8,6.1,2.3,74,0.115,0.9,22.9,0.49,0.748750741935419,0.729747638073277,1.4784983800087
"8",1,8,"TOR","Rafael Araujo","BYU","3",139,1585,389,395,41,0.405,0.25,0.679,11.4,2.8,2.8,0.3,-0.4,-0.013,-7.2,-2.1,NA,NA,NA,NA
"9",1,9,"PHI","Andre Iguodala","Arizona","19",1231,39507,13968,6047,5147,0.463,0.33,0.709,32.1,11.3,4.9,4.2,100.4,0.122,2.1,41.3,1.12,1.16446879003112,1.31406672117668,2.4785355112078
"10",1,10,"CLE","Luke Jackson","Oregon","4",73,724,252,89,58,0.357,0.36,0.732,9.9,3.5,1.2,0.8,0.2,0.01,-3.7,-0.3,NA,NA,NA,NA
"11",1,11,"GSW","Andris Biedriņs",NA,"10",516,11146,3247,3631,467,0.594,0,0.5,21.6,6.3,7,0.9,30.7,0.132,-0.4,4.6,NA,NA,NA,NA
"12",1,12,"OKC","Robert Swift",NA,"4",97,1500,416,376,20,0.506,NA,0.61,15.5,4.3,3.9,0.2,1.7,0.054,-3.8,-0.7,NA,NA,NA,NA
"13",1,13,"POR","Sebastian Telfair",NA,"10",564,12149,4183,898,1960,0.39,0.319,0.777,21.5,7.4,1.6,3.5,5,0.02,-3.4,-4.2,-1.462,-0.473536337397533,-1.08071402893919,-1.55425036633672
"14",1,14,"UTA","Kris Humphries","Minnesota","13",800,14232,5350,4314,556,0.463,0.293,0.7,17.8,6.7,5.4,0.7,30.3,0.102,-1.7,1.2,-0.89875,0.275598322692082,-0.558304943926497,-0.282706621234415
"15",1,15,"BOS","Al Jefferson",NA,"14",915,26299,14343,7690,1347,0.499,0.121,0.711,28.7,15.7,8.4,1.5,71,0.13,1.2,21.3,0.511111111111111,0.4454420036387,0.749327995355402,1.1947699989941
"16",1,16,"UTA","Kirk Snyder","Nevada","4",211,3540,1333,491,241,0.438,0.327,0.699,16.8,6.3,2.3,1.1,4.5,0.061,-1.2,0.7,NA,NA,NA,NA
"17",1,17,"ATL","Josh Smith",NA,"13",894,29000,12996,6653,2789,0.452,0.285,0.632,32.4,14.5,7.4,3.1,51,0.084,1.7,27.2,1.06625,1.51123593260122,1.26421410099127,2.7754500335925
"18",1,18,"NOP","J.R. Smith",NA,"16",977,26275,12148,3073,2077,0.419,0.373,0.733,26.9,12.4,3.1,2.1,46.3,0.084,0.2,14.7,NA,NA,NA,NA
"19",1,19,"MIA","Dorell Wright",NA,"11",549,12280,4597,2093,850,0.424,0.365,0.806,22.4,8.4,3.8,1.5,25.9,0.101,0.9,9.1,0.281666666666667,1.20806701356887,0.536520428052309,1.74458744162118
"20",1,20,"DEN","Jameer Nelson","Saint Joseph's","14",878,24539,9940,2595,4508,0.436,0.368,0.81,27.9,11.3,3,5.1,48.3,0.094,-0.1,11.6,-0.0477777777777778,0.925319553461933,0.230963799939151,1.15628335340108
"21",1,21,"UTA","Pavel Podkolzin",NA,"2",6,28,4,9,0,0,NA,0.5,4.7,0.7,1.5,0,-0.1,-0.163,-15,-0.1,NA,NA,NA,NA
"22",1,22,"BRK","Viktor Khryapa",NA,"4",143,2351,643,492,142,0.443,0.292,0.658,16.4,4.5,3.4,1,2,0.041,-3.5,-0.9,NA,NA,NA,NA
"23",1,23,"POR","Sergei Monia",NA,"1",26,343,77,52,19,0.333,0.265,0.714,13.2,3,2,0.7,-0.2,-0.025,-5.3,-0.3,NA,NA,NA,NA
"24",1,24,"BOS","Delonte West","Saint Joseph's","8",432,11842,4198,1265,1540,0.448,0.372,0.826,27.4,9.7,2.9,3.6,24.5,0.099,0.9,8.7,-0.713333333333333,0.175635207679413,-0.386332727007835,-0.210697519328422
"25",1,25,"BOS","Tony Allen","Oklahoma State","14",820,18055,6654,2884,1077,0.475,0.282,0.709,22,8.1,3.5,1.3,38.7,0.103,0.3,10.4,0.421111111111111,1.08455288675757,0.665853840626343,1.75040672738391
"26",1,26,"SAC","Kevin Martin","Western Carolina University","12",714,21559,12396,2278,1352,0.437,0.384,0.87,30.2,17.4,3.2,1.9,61.3,0.137,1,16.1,-0.451428571428571,0.799165229100311,-0.143418520124332,0.655746708975979
"27",1,27,"LAL","Sasha Vujacic",NA,"10",581,8908,3094,1093,748,0.39,0.367,0.858,15.3,5.3,1.9,1.3,16,0.086,-1,2.3,-1.448,-0.47538667545347,-1.06772916042578,-1.54311583587925
"28",1,28,"SAS","Beno Udrih",NA,"13",831,18185,6952,1712,2858,0.463,0.349,0.833,21.9,8.4,2.1,3.4,31.4,0.083,-0.9,4.9,-0.542857142857143,0.585414785772143,-0.228217661436392,0.357197124335751
"29",1,29,"IND","David Harrison","Colorado","4",189,2686,949,549,47,0.53,NA,0.525,14.2,5,2.9,0.2,3.2,0.057,-4.4,-1.7,NA,NA,NA,NA
